train_score_31,test_score_31,train_score_61,test_score_61,train_score_91,test_score_91,train_score_121,test_score_121,train_score_151,test_score_151,train_score_181,test_score_181,train_score_211,test_score_211,train_score_241,test_score_241,train_score_271,test_score_271,train_score_301,test_score_301
4.731435935566225,4.49875501366627,5.488672426181625,5.389113067202538,5.498102396856147,5.148113366115879,4.775305797915255,4.824626139476832,5.167669053832011,5.253626019570767,4.9158194231876955,4.880036716126983,4.810536901460879,4.771210090405481,5.588999291933483,6.010211535033382,5.871447441883808,5.826146085708245,5.695689568324744,5.542789020960004
4.927502432000833,4.686068123798424,5.598872940562509,5.263074535633953,5.008273738708051,4.942255852155967,5.3124213067363755,4.796850021867607,5.120747364940649,5.099897176227277,5.665437422225555,5.740489009294644,4.690559235995821,4.510474138964935,5.268392408683051,5.917801100207188,5.221096194640131,5.6431944175183,5.107109075068564,4.827789478225603
4.5811543858216695,4.587123266978987,5.205316915777009,4.992518754943374,4.896348469077192,4.95660511674581,4.534180670744769,4.5220259804311125,4.939287370169857,4.9514407627586,6.0611719661982955,5.696370145943692,4.99659163449443,4.958747676769754,5.294769358062228,6.043929494101488,5.602430532248671,5.388891564103388,4.791530599718627,4.948645146969558
4.650779694944899,4.544824642110469,5.528001010809634,5.181760754881848,5.562441190986343,5.452987697906413,5.195647448456906,4.776432621886782,5.356847972710593,5.270786569501401,5.569737549766791,5.564449958286752,4.813793811421622,4.398546100488292,5.619379685816899,5.594566304512991,5.307638796467909,5.3498162370639895,5.0502680286691435,4.9349914345852035
4.6740490837175805,4.682181690446967,5.605580214790316,5.4228623684295885,4.943301431225945,4.794234351324384,4.814839430625088,4.386212473722233,5.905757713947981,5.7194790602235415,5.097577263386523,5.531566578347766,4.7385934101205525,4.751054512778604,5.168258271702588,5.291290271907536,5.427044262103167,5.6777276859388435,5.325998165878103,5.468954729053223
4.8530649892711395,4.768887585757798,5.466101346627191,5.2534872986242425,5.1234266224995295,5.028267211970296,4.9166720876639385,4.670845166487606,5.3135662984507634,5.253986570374335,5.42914599239125,5.0813804408391245,5.240116988983748,5.114812190766515,5.554866646629546,5.6229201254382,6.294516951350724,6.441298918183165,4.650653460284481,4.664227943716864
4.701863430859354,4.611308398713414,5.507838958245132,5.3761039788273095,4.868236256497851,4.915511967264704,4.619681299405599,4.742824398286268,5.214234603072648,5.262570974478048,5.5036010112967775,5.4029070592841535,4.764808655415701,4.631780161359932,4.922599665731746,5.158631877942991,5.263828640367256,5.342408411583641,5.228907201231199,5.07967164525426
4.7690273599580015,4.870002450298337,5.370929659644087,5.289783658663257,4.781173811527992,4.7239035346848945,4.916296352311871,4.574279895868818,5.374294956622144,4.9762971820416215,5.0274346472857125,5.228919841145661,5.217061080328492,5.195132841267487,5.080450780788695,5.212377242590822,5.678658819195943,5.693561351638072,5.370256827804966,5.350928604930683
4.636738483909628,4.738859604026144,5.057334896649552,5.03404439092748,5.177551304303905,4.999775999172953,4.6020478765297295,4.537642575855047,5.590407171276545,5.63181363470239,5.094711248235377,4.991537474969922,5.370315269794767,5.044199628301129,5.189377254640856,5.045988225679176,5.036710372168682,5.224132823006449,5.779891833003341,5.0913746705273
4.669394065987361,4.683804573100667,5.487856541443448,5.459049728069292,5.080113299066193,5.01090571628649,5.451594765392623,5.383446804730453,5.220671221338702,5.286190682115663,4.933949189958409,4.9906755028241845,4.679590643367761,4.841388308391375,4.965154187472318,5.398032464283078,5.861043444716452,5.637121330816167,5.098352744854467,5.121922907150035
